title,video_id,new_title
Applied Physics for CV stream as Per VTU Syllabus- Damped oscillations in Kannada,2YOI3ANd7Rs,
Applied Physics for CV stream as Per VTU Syllabus- -Springs and combination of springs in Kannada,8Aq2IAb2GNc,
Applied Physics for CV stream in Kannada as Per VTU Syllabus- part-1,FGT9eYTY7tA,
K-CET-2025 Last minute preparations and precautions- In Kannada,yqK1q9zpDNI,Last Minute Preparations and Precautions | K-CET 2025 Prep | 2nd PUC in Kannada
KCET-2025-PHYSICS MODEL PAPER MCQSPART-4,_4HgpjVqDNc,Model Paper MCQs | KCET 2025 Prep | Part 4
KCET-2025 PHYSICS MCQs IN KANNADA -PART-3,iGEapc_NGBc,Physics MCQs | KCET 2025 Prep | Part 3
KCET-2025-PHYSICS SAMPLE MCQs IN KANNADA-PART-2,tykIYSiIkuo,Sample MCQs | KCET 2025 Prep | Part 2
KCET-PHYSICS MODEL PAPER DISCUSSION IN KANNADA-PART-1,nKiHbimmlIQ,Model Paper Discussion | KCET 2025 Prep | Part 1
II PUC PHYSICS- KCET-2025-GEOMETRICAL  OPTICS/RAY OPTICS IN KANNADA,dHZefYYQjNY,
"II PUC PHYSICS- KCET-2025-INTERFERENCE, DIFFRACTION AND POLARIZATION WAVE OPTICS IN KANNADA",ZNNn0BaygSk,"Interference, Diffraction and Polarization | KCET 2025 Physics Prep | 2nd PUC in Kannada"
II PUC PHYSICS- KCET-2025-SEMICONDUCTORS AND ELECTRONICS IN KANNADA,rRwQLwIZbvI,Semiconductors and Electronics | KCET 2025 Physics Prep | 2nd PUC in Kannada
II PUC PHYSICS- KCET-2025-MOVING CHARGES AND MAGNETISM IN KANNADA,fwWyrFENZAo,Moving Charges and Magnetism | KCET 2025 Physics Prep | 2nd PUC in Kannada
II PUC PHYSICS- KCET-2025-CURRENT ELECTRICITY IN KANNADA PART – 2,GoSwpRNDgEY,Current Electricity | KCET 2025 Physics Prep | Part 2 | 2nd PUC in Kannada
II PUC PHYSICS- KCET-2025-CURRENT ELECTRICITY IN KANNADA PART – 6,4vO7TbRtEIw,Current Electricity | KCET 2025 Physics Prep | Part 6 | 2nd PUC in Kannada
II PUC PHYSICS- KCET-2025-ELECTROSTATICS IN KANNADA PART – 6,lmv_LnNuRBc,Electrostatics | KCET 2025 Physics Prep | Part 6 | 2nd PUC in Kannada
II PUC PHYSICS- KCET-2025-ELECTROSTATICS IN KANNADA PART – 5,vT_ttjWgEvw,Electrostatics | KCET 2025 Physics Prep | Part 5 | 2nd PUC in Kannada
2nd PUC PHYSICS- CET-2025-ELECTROSTATICS IN KANNADA PART – 4,j12lwaR_cOc,Electrostatics | CET 2025 Physics Prep | Part 4 | 2nd PUC in Kannada
II PUC PHYSICS- CET-2025-ELECTROSTATICS IN KANNADA PART – 3,ngMgH4omgrQ,Electrostatics | CET 2025 Physics Prep | Part 3 | 2nd PUC in Kannada
PHYSICS- CET-2025-ELECTROSTATICS IN KANNADA PART – 2,T6CNYh_IVUs,Electrostatics | CET 2025 Physics Prep | Part 2 | 2nd PUC in Kannada
PHYSICS- CET-2025-ELECTROSTATICS IN KANNADA PART – 1,gvitJ9X8VIc,Electrostatics | CET 2025 Physics Prep | Part 1 | 2nd PUC in Kannada
MCQ and 2 marks question and answers Moving charges and Magnetism – II PUC in Kannada,6D6lA2qBF7E,
Question Bank discussion-Answers to questions on Current electricity – II PUC in Kannada,7djll9-Di-4,
VTU Previous year question paper discussion on Physics of animation & statistical Physics-CSE stream,pdJ_Bjp6RhA,
5 Marks Derivations in Electrostatics and Capacitors-II PUC- Kannada,kYpNJv-Olp4,
Physics question bank MCQ on Electric potential and capacitor with solutions-II PUC- Kannada-part-1,u1LjB_QWW74,
Physics question bank problems on Electric charge and field with solutions-II PUC- Kannada-part-3,xX6ODTfsi18,
Physics question bank  on Electric charge and field with detailed solutions-II PUC- Kannada-part-2,VlbJcZpgkfQ,
Physics question bank questions on Electric charge and field with answers-II PUC- Kannada,8A08LZvJ3EY,
Problems on refraction at curved surfaces-Geometrical Optics in Kannada for II PUC-part-4,Ub8l1iTZDOc,
problems on Geometrical Optics in Kannada for II PUC-part-3,lI1AdU_XLZo,
problems on Geometrical Optics in Kannada for II PUC,-hSV8lbK1yM,
15. problems on Geometrical Optics in Kannada for II PUC,5VhUekC3-SE,
problems on AC circuits and Transformers in Kannada for II PUC,0BW1SXENYt0,
problems on EMI and AC circuits in Kannada for II PUC,BLEwGEgChS4,
problems on Kirchhoff’s laws in Kannada for II PUC,NGPwb2l7eNA,
Physics Model Paper -2023-24 detailed answers for SA and LA type questions - II PUC,zvIynZNELxY,
Physics Model Paper -3 detailed answers for SA and LA type questions - II PUC,dS465QF9ff4,
Physics Model Paper 2025-1 detailed answers for SA and LA type questions - II PUC-part-2,mxccfutqkyA,Physics Model Paper 2025-1 Detailed Answers | Exam Prep | Part 2 | 2nd PUC
